title,authors,publisher,language,isbn_10,isbn_13
A Course in Machine Learning,Hal Daume III,ciml.info;,English,N/A,N/A
A Developer's Guide to Building AI Applications,Elaine Chang and Darren Jeford,"O’Reilly Media, 2nd Edition (2020); eBook (Compliments of O’Reilly)",English,N/A,978-1-492-08058-9
A Field Guide to Genetic Programming,"Riccardo Poli, William Langdon, Nicholas McPhee","Lulu Enterprises, UK Ltd; eBook (Creative Commons Licensed)",English,1409200736,978-1409200734
A Quick Guide to Artificial Intelligence with Unity,Patrick Felicia,"Smashwords (Oct 2, 2020)",English,B075CNMVQM,978-1393232643
"A Gentle Guide to Constraint Logic Programming via ECLiPSe, 3rd Edition",Antoni Niederlinski,"Economic University in Katowice, Poland (3rd edition, February 12, 2014)",English,N/A,978-83-62652-08-2
"AI Algorithms, Data Structures, and Idioms in Prolog, Lisp, and Java","George F. Luger, and William A. Stubblefield","Addison-Wesley; 6 edition (September 4, 2008)",English,0136070477,978-0136070474
AI Art: Machine Visions and Warped Dreams,Joanna Zylinska,Springer; 2020 edition; eBook (Creative Commons Licensed),English,1785420852,978-1785420856
AI Demystified,Alex David Pratt,The Scribe Press (2024),English,N/A,N/A
AI Fairness: Designing Equal Opportunity Algorithms,Derek Leben,"The MIT Press (May 13, 2025); eBook (Creative Commons Licensed)",English,0262552361,978-0262552363
AI - Limits and Prospects of Artificial Intelligence,Peter Klimczak,"transcript publishing (October 17, 2023); eBook (Creative Commons Licensed)",English,3837657329,978-3837657326
"AI Robotics: Ethics, Algorithms, and Technology of Artificial Intelligence-Powered Robots","Maria Luce Lupetti, Cristina Zaga, Nazli Cila, Selma Šabanović, Malte F. Jung","CRC Press (October 9, 2025); eBook (Creative Commons Licensed)",English,1032695196,978-1032695198
AI based Robot Safe Learning and Control,"Xuefeng Zhou, Zhihao Xu, Shuai Li, Hongmin Wu, Taobo Cheng, Xiaojing Lv","Springer; 1st ed. (June 3, 2020); ; eBook (Open Access/Creative Commons Edition)",English,9811555028,978-9811555022
AI for Everyone?,Pieter Verdegem,University of Westminster Press (2021); eBook (Open Access Edition),English,1914386167,978-1914386169
ChatGPT Money Machine 2024 - The Ultimate Chatbot Cheat Sheet to Go From Clueless Noob to Prompt Prodigy Fast!,Alec Rowe,"Smashwords (Feb 17, 2024)",English,B0CVV5W8NX,979-8224328635
Advancing Edge Artificial Intelligence: System Contexts,"Ovidiu Vermesan, Dave Marples","River Publishers; 1st edition (March 4, 2024); eBook (Creative Commons Licensed)",English,8770041024,978-8770041027
Agent AI for Finance: From Financial Argument Mining to Agent-Based Modeling,"Chung-Chi Chen, Hiroya Takamura","Springer (July 17, 2025); eBook (Creative Commons Licensed)",English,3031946863,978-3031946868
"Agents in the Long Game of AI: Computational Cognitive Modeling for Trustworthy, Hybrid AI","Marjorie McShane, Sergei Nirenburg, Jesse English","Cambridge University Press; 3rd edition (September 21, 2023); eBook (Creative Commons Licensed)",English,0521519004,978-1009258197
An Introduction to Logic Programming Through Prolog,J. M. Spivey,"Prentice Hall; 1 edition (April 1996); eBook (November 22, 2008)",English,0135360471,978-0135360477
Applied AI for Enterprise Java Development,"Alex Soto Bueno, Markus Eisele, Natale Vinto",O'Reilly Media (2025); eBook (Compliments of Red Hat),English,109817450X,978-1098174507
Applied Artificial Intelligence: A Handbook For Business Leaders,"Da Duan, Paolo F Fantoni, Martine De Cock, et al.","World Scientific Pub Co, Inc; eBook (Online Edition)",English,9812566902,978-9812566904
Art Intelligence: How Generative AI Relates to Human Art-Making,Jan Svenungsson,"transcript publishing (October 1, 2024); eBook (Creative Commons Licensed)",English,383767472X,978-3837674729
"Artificial Intelligence: Foundations of Computational Agents, 2nd Edition","David L. Poole (Author),‎ Alan K. Mackworth (Author)","Cambridge University Press; 2 edition (September 25, 2017)",English,110719539X,978-1107195394
Artificial Intelligence: Foundations of Computational Agents,"David Poole, Alan Mackworth","Cambridge University Press; 3rd edition (September 21, 2023); eBook (Creative Commons Licensed)",English,0521519004,978-1009258197
